BUCKET,HVA:PIS,N:P,SHADE,SPECIES,DRY MASS (g)
13,1:3,3:1,0,PIS 1,0.48
13,1:3,3:1,0,PIS 2,0.02
13,1:3,3:1,0,PIS 3,0.21
2,4:0,3:1,0,HVA 1,0.37
2,4:0,3:1,0,HVA 2,1.14
2,4:0,3:1,0,HVA 3,0.8
2,4:0,3:1,0,HVA 4,0.44
16,1:3,3:1,0,HVA 1,0.33
16,1:3,3:1,0,PIS 1,0.03
16,1:3,3:1,0,PIS 2,0.06
16,1:3,3:1,0,PIS 3,0.06
15,1:3,3:1,0,HVA 1,0.32
15,1:3,3:1,0,PIS 1,0.2
15,1:3,3:1,0,PIS 2,0.36
15,1:3,3:1,0,PIS 3,0.06
7,3:1,3:1,0,HVA 1,0.61
7,3:1,3:1,0,HVA 2,1.59
7,3:1,3:1,0,HVA 3,1.32
7,3:1,3:1,0,PIS 1,0.16
6,3:1,3:1,0,HVA 1,0.8
6,3:1,3:1,0,HVA 2,0.41
6,3:1,3:1,0,HVA 3,0.2
6,3:1,3:1,0,PIS 1,0.13
21,4:0,3:1,1,HVA 1,0.43
21,4:0,3:1,1,HVA 2,0.49
21,4:0,3:1,1,HVA 3,0.5
21,4:0,3:1,1,HVA 4,1.3
41,0:4,3:1,1,PIS 1,0.54
41,0:4,3:1,1,PIS 2,0.24
41,0:4,3:1,1,PIS 3,0
41,0:4,3:1,1,PIS 4,0
26,3:1,3:1,1,HVA 1,0.22
26,3:1,3:1,1,HVA 2,0.55
26,3:1,3:1,1,HVA 3,0.06
26,3:1,3:1,1,PIS 1,0
23,4:0,3:1,1,HVA 1,0.61
23,4:0,3:1,1,HVA 2,0.18
23,4:0,3:1,1,HVA 3,0.48
23,4:0,3:1,1,HVA 4,0.95
30,2:2,3:1,1,HVA 1,0.26
30,2:2,3:1,1,HVA 2,0.34
30,2:2,3:1,1,PIS 1,0.08
30,2:2,3:1,1,PIS 2,0.1
31,2:2,3:1,1,HVA 1,0.2
31,2:2,3:1,1,HVA 2,0.53
31,2:2,3:1,1,PIS 1,0.02
31,2:2,3:1,1,PIS 2,0.13
28,3:1,3:1,1,HVA 1,0.79
28,3:1,3:1,1,HVA 2,0.18
28,3:1,3:1,1,HVA 3,0.61
28,3:1,3:1,1,PIS 1,0.3
27,3:1,3:1,1,HVA 1,0.41
27,3:1,3:1,1,HVA 2,0.61
27,3:1,3:1,1,HVA 3,0.34
27,3:1,3:1,1,PIS 1,0.02
22,4:0,3:1,1,HVA 1,0.26
22,4:0,3:1,1,HVA 2,0.39
22,4:0,3:1,1,HVA 3,0.93
22,4:0,3:1,1,HVA 4,0.75
35,1:3,3:1,1,HVA 1,0.75
35,1:3,3:1,1,PIS 1,0.27
35,1:3,3:1,1,PIS 2,0
35,1:3,3:1,1,PIS 3,0.54
39,0:4,3:1,1,PIS 1,0.07
39,0:4,3:1,1,PIS 2,0.03
39,0:4,3:1,1,PIS 3,0
39,0:4,3:1,1,PIS 4,0
36,1:3,3:1,1,HVA 1,0.38
36,1:3,3:1,1,PIS 1,0.22
36,1:3,3:1,1,PIS 2,0.28
36,1:3,3:1,1,PIS 3,0.06
29,2:2,3:1,1,HVA 1,0.63
29,2:2,3:1,1,HVA 2,0.38
29,2:2,3:1,1,PIS 1,0.07
29,2:2,3:1,1,PIS 2,0.03
32,2:2,3:1,1,HVA 1,1.63
32,2:2,3:1,1,HVA 2,0.31
32,2:2,3:1,1,PIS 1,0
32,2:2,3:1,1,PIS 2,0
38,0:4,3:1,1,PIS 1,0.07
38,0:4,3:1,1,PIS 2,0.08
38,0:4,3:1,1,PIS 3,0
38,0:4,3:1,1,PIS 4,0
33,1:3,3:1,1,HVA 1,0.55
33,1:3,3:1,1,PIS 1,0.1
33,1:3,3:1,1,PIS 2,0.2
33,1:3,3:1,1,PIS 3,0
34,1:3,3:1,1,HVA 1,0.56
34,1:3,3:1,1,PIS 1,0.45
34,1:3,3:1,1,PIS 2,0.17
34,1:3,3:1,1,PIS 3,0.16
25,3:1,3:1,1,HVA 1,0.59
25,3:1,3:1,1,HVA 2,0.58
25,3:1,3:1,1,HVA 3,0.66
25,3:1,3:1,1,PIS 1,0.2
24,4:0,3:1,1,HVA 1,0.1
24,4:0,3:1,1,HVA 2,0.07
24,4:0,3:1,1,HVA 3,0.28
24,4:0,3:1,1,HVA 4,0.54
37,0:4,3:1,1,PIS 1,0.04
37,0:4,3:1,1,PIS 2,0.14
37,0:4,3:1,1,PIS 3,0.02
37,0:4,3:1,1,PIS 4,0
44,4:0,3:1,2,HVA 1,0.49
44,4:0,3:1,2,HVA 2,0.59
44,4:0,3:1,2,HVA 3,0.74
44,4:0,3:1,2,HVA 4,0.77
41,4:0,3:1,2,HVA 1,0.22
41,4:0,3:1,2,HVA 2,0.44
41,4:0,3:1,2,HVA 3,0.45
41,4:0,3:1,2,HVA 4,0.58
43,4:0,3:1,2,HVA 1,0.55
43,4:0,3:1,2,HVA 2,0.29
43,4:0,3:1,2,HVA 3,0.24
43,4:0,3:1,2,HVA 4,0.23
54,1:3,3:1,2,HVA 1,0.16
54,1:3,3:1,2,PIS 1,0.04
54,1:3,3:1,2,PIS 2,0.12
54,1:3,3:1,2,PIS 3,0.29
50,2:2,3:1,2,HVA 1,0.37
50,2:2,3:1,2,HVA 2,0.18
50,2:2,3:1,2,PIS 1,0.08
50,2:2,3:1,2,PIS 2,0.47
58,0:4,3:1,2,PIS 1,0.13
58,0:4,3:1,2,PIS 2,0.09
58,0:4,3:1,2,PIS 3,0.4
58,0:4,3:1,2,PIS 4,0.06
45,3:1,3:1,2,HVA 1,0.16
45,3:1,3:1,2,HVA 2,0.4
45,3:1,3:1,2,HVA 3,0.52
45,3:1,3:1,2,PIS 1,0.06
55,1:3,3:1,2,HVA 1,0.13
55,1:3,3:1,2,PIS 1,0.04
55,1:3,3:1,2,PIS 2,0.18
55,1:3,3:1,2,PIS 3,0.07
59,0:4,3:1,2,PIS 1,0.08
59,0:4,3:1,2,PIS 2,0.11
59,0:4,3:1,2,PIS 3,0.24
59,0:4,3:1,2,PIS 4,0.28
57,0:4,3:1,2,PIS 1,0.29
57,0:4,3:1,2,PIS 2,0.32
57,0:4,3:1,2,PIS 3,0
57,0:4,3:1,2,PIS 4,0.14
51,2:2,3:1,2,HVA 1,0.18
51,2:2,3:1,2,HVA 2,0.18
51,2:2,3:1,2,PIS 1,0.09
51,2:2,3:1,2,PIS 2,0
46,3:1,3:1,2,HVA 1,0.5
46,3:1,3:1,2,HVA 2,0.34
46,3:1,3:1,2,HVA 3,0.18
46,3:1,3:1,2,PIS 1,0.05
47,3:1,3:1,2,HVA 1,0.43
47,3:1,3:1,2,HVA 2,0.42
47,3:1,3:1,2,HVA 3,0.28
47,3:1,3:1,2,PIS 1,0.54
60,0:4,3:1,2,PIS 1,0
60,0:4,3:1,2,PIS 2,0.36
60,0:4,3:1,2,PIS 3,0.33
60,0:4,3:1,2,PIS 4,0
53,1:3,3:1,2,HVA 1,0.51
53,1:3,3:1,2,PIS 1,0.04
53,1:3,3:1,2,PIS 2,0.31
53,1:3,3:1,2,PIS 3,0.65
42,4:0,3:1,2,HVA 1,0.34
42,4:0,3:1,2,HVA 2,0.42
42,4:0,3:1,2,HVA 3,0.58
42,4:0,3:1,2,HVA 4,0.67
48,3:1,3:1,2,HVA 1,0.24
48,3:1,3:1,2,HVA 2,0.17
48,3:1,3:1,2,HVA 3,0.95
48,3:1,3:1,2,PIS 1,0.02
52,2:2,3:1,2,HVA 1,0.19
52,2:2,3:1,2,HVA 2,0.67
52,2:2,3:1,2,PIS 1,0.11
52,2:2,3:1,2,PIS 2,0.11
56,1:3,3:1,2,HVA 1,0.48
56,1:3,3:1,2,PIS 1,0.15
56,1:3,3:1,2,PIS 2,0.21
56,1:3,3:1,2,PIS 3,0.11
49,2:2,3:1,2,HVA 1,0.13
49,2:2,3:1,2,HVA 2,0.23
49,2:2,3:1,2,PIS 1,0.13
49,2:2,3:1,2,PIS 2,0.1
71,2:2,3:1,3,HVA 1,0.26
71,2:2,3:1,3,HVA 2,0.3
71,2:2,3:1,3,PIS 1,0.15
71,2:2,3:1,3,PIS 2,0
80,0:4,3:1,3,PIS 1,0.28
80,0:4,3:1,3,PIS 2,0
80,0:4,3:1,3,PIS 3,0
80,0:4,3:1,3,PIS 4,0
69,2:2,3:1,3,HVA 1,0.24
69,2:2,3:1,3,HVA 2,0.17
69,2:2,3:1,3,PIS 1,0.05
69,2:2,3:1,3,PIS 2,0
74,1:3,3:1,3,HVA 1,0.15
74,1:3,3:1,3,PIS 1,0.08
74,1:3,3:1,3,PIS 2,0.02
74,1:3,3:1,3,PIS 3,0.05
76,1:3,3:1,3,HVA 1,0.33
76,1:3,3:1,3,PIS 1,0.16
76,1:3,3:1,3,PIS 2,0
76,1:3,3:1,3,PIS 3,0
63,4:0,3:1,3,HVA 1,0.27
63,4:0,3:1,3,HVA 2,0.18
63,4:0,3:1,3,HVA 3,0.2
63,4:0,3:1,3,HVA 4,0.25
73,1:3,3:1,3,HVA 1,0.2
73,1:3,3:1,3,PIS 1,0
73,1:3,3:1,3,PIS 2,0.4
73,1:3,3:1,3,PIS 3,0
62,4:0,3:1,3,HVA 1,0.17
62,4:0,3:1,3,HVA 2,0.32
62,4:0,3:1,3,HVA 3,0.18
62,4:0,3:1,3,HVA 4,0.3
65,3:1,3:1,3,HVA 1,0.12
65,3:1,3:1,3,HVA 2,0.3
65,3:1,3:1,3,HVA 3,0.24
65,3:1,3:1,3,PIS 1,0.08
70,2:2,3:1,3,HVA 1,0.23
70,2:2,3:1,3,HVA 2,0.14
70,2:2,3:1,3,PIS 1,0.05
70,2:2,3:1,3,PIS 2,0.03
72,2:2,3:1,3,HVA 1,0.14
72,2:2,3:1,3,HVA 2,0.15
72,2:2,3:1,3,PIS 1,0.03
72,2:2,3:1,3,PIS 2,0.04
78,0:4,3:1,3,PIS 1,0.04
78,0:4,3:1,3,PIS 2,0.09
78,0:4,3:1,3,PIS 3,0
78,0:4,3:1,3,PIS 4,0
67,3:1,3:1,3,HVA 1,0.33
67,3:1,3:1,3,HVA 2,0.33
67,3:1,3:1,3,HVA 3,0.16
67,3:1,3:1,3,PIS 1,0.08
79,0:4,3:1,3,PIS 1,0.06
79,0:4,3:1,3,PIS 2,0.04
79,0:4,3:1,3,PIS 3,0.06
79,0:4,3:1,3,PIS 4,0.11
61,4:0,3:1,3,HVA 1,0.28
61,4:0,3:1,3,HVA 2,0.29
61,4:0,3:1,3,HVA 3,0.18
61,4:0,3:1,3,HVA 4,0.26
68,3:1,3:1,3,HVA 1,0.37
68,3:1,3:1,3,HVA 2,0.14
68,3:1,3:1,3,HVA 3,0.09
68,3:1,3:1,3,PIS 1,0
77,0:4,3:1,3,PIS 1,0.05
77,0:4,3:1,3,PIS 2,0.31
77,0:4,3:1,3,PIS 3,0.2
77,0:4,3:1,3,PIS 4,0.02
75,1:3,3:1,3,HVA 1,0.14
75,1:3,3:1,3,PIS 1,0
75,1:3,3:1,3,PIS 2,0
75,1:3,3:1,3,PIS 3,0
66,3:1,3:1,3,HVA 1,0.1
66,3:1,3:1,3,HVA 2,0.11
66,3:1,3:1,3,HVA 3,0.12
66,3:1,3:1,3,PIS 1,0.04
64,4:0,3:1,3,HVA 1,0.13
64,4:0,3:1,3,HVA 2,0.16
64,4:0,3:1,3,HVA 3,0.32
64,4:0,3:1,3,HVA 4,0.32
